,YEAR_op,TIMESTAMP,STOCK_TECHNO,AREA,stockLevel_Pvar
0,2040,1,Battery,Alpin,0.0
1,2040,1,Battery,Marseille,0.0
2,2040,1,H2 tank,Alpin,0.0
3,2040,1,H2 tank,Marseille,263.3822792384876
4,2040,4101,Battery,Alpin,0.0
5,2040,4101,Battery,Marseille,0.0
6,2040,4101,H2 tank,Alpin,0.0
7,2040,4101,H2 tank,Marseille,263.3822792384876
8,2040,8201,Battery,Alpin,0.0
9,2040,8201,Battery,Marseille,0.0
10,2040,8201,H2 tank,Alpin,0.0
11,2040,8201,H2 tank,Marseille,0.0
12,2040,3601,Battery,Alpin,0.0
13,2040,3601,Battery,Marseille,0.0
14,2040,3601,H2 tank,Alpin,0.0
15,2040,3601,H2 tank,Marseille,0.0
16,2040,7701,Battery,Alpin,0.0
17,2040,7701,Battery,Marseille,0.0
18,2040,7701,H2 tank,Alpin,0.0
19,2040,7701,H2 tank,Marseille,263.3822792384876
20,2040,3101,Battery,Alpin,0.0
21,2040,3101,Battery,Marseille,0.0
22,2040,3101,H2 tank,Alpin,0.0
23,2040,3101,H2 tank,Marseille,263.3822792384876
24,2040,7201,Battery,Alpin,0.0
25,2040,7201,Battery,Marseille,0.0
26,2040,7201,H2 tank,Alpin,0.0
27,2040,7201,H2 tank,Marseille,263.3822792384876
28,2040,2601,Battery,Alpin,0.0
29,2040,2601,Battery,Marseille,0.0
30,2040,2601,H2 tank,Alpin,0.0
31,2040,2601,H2 tank,Marseille,0.0
32,2040,6701,Battery,Alpin,0.0
33,2040,6701,Battery,Marseille,0.0
34,2040,6701,H2 tank,Alpin,0.0
35,2040,6701,H2 tank,Marseille,263.3822792384876
36,2040,2101,Battery,Alpin,0.0
37,2040,2101,Battery,Marseille,0.0
38,2040,2101,H2 tank,Alpin,0.0
39,2040,2101,H2 tank,Marseille,0.0
40,2040,6201,Battery,Alpin,0.0
41,2040,6201,Battery,Marseille,0.0
42,2040,6201,H2 tank,Alpin,0.0
43,2040,6201,H2 tank,Marseille,0.0
44,2040,1601,Battery,Alpin,0.0
45,2040,1601,Battery,Marseille,0.0
46,2040,1601,H2 tank,Alpin,0.0
47,2040,1601,H2 tank,Marseille,263.3822792384876
48,2040,5701,Battery,Alpin,0.0
49,2040,5701,Battery,Marseille,0.0
50,2040,5701,H2 tank,Alpin,0.0
51,2040,5701,H2 tank,Marseille,263.3822792384876
52,2040,1101,Battery,Alpin,0.0
53,2040,1101,Battery,Marseille,0.0
54,2040,1101,H2 tank,Alpin,0.0
55,2040,1101,H2 tank,Marseille,263.3822792384876
56,2040,5201,Battery,Alpin,0.0
57,2040,5201,Battery,Marseille,0.0
58,2040,5201,H2 tank,Alpin,0.0
59,2040,5201,H2 tank,Marseille,263.3822792384876
60,2040,601,Battery,Alpin,0.0
61,2040,601,Battery,Marseille,0.0
62,2040,601,H2 tank,Alpin,0.0
63,2040,601,H2 tank,Marseille,0.0
64,2040,4701,Battery,Alpin,0.0
65,2040,4701,Battery,Marseille,0.0
66,2040,4701,H2 tank,Alpin,0.0
67,2040,4701,H2 tank,Marseille,0.0
68,2040,101,Battery,Alpin,0.0
69,2040,101,Battery,Marseille,0.0
70,2040,101,H2 tank,Alpin,0.0
71,2040,101,H2 tank,Marseille,263.3822792384876
72,2040,4201,Battery,Alpin,0.0
73,2040,4201,Battery,Marseille,0.0
74,2040,4201,H2 tank,Alpin,0.0
75,2040,4201,H2 tank,Marseille,0.0
76,2040,8301,Battery,Alpin,0.0
77,2040,8301,Battery,Marseille,0.0
78,2040,8301,H2 tank,Alpin,0.0
79,2040,8301,H2 tank,Marseille,0.0
80,2040,3701,Battery,Alpin,0.0
81,2040,3701,Battery,Marseille,0.0
